date,equity,cash,borrowed,holdings_val,leverage,drawdown,num_positions,active_holdings,regime
2010-04-01,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-05,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-06,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-07,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-08,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-09,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-12,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-13,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-14,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-15,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-16,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-19,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-20,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-21,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-22,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-23,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-26,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-27,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-28,700.0,700.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
