Year,RealizedPL,InterestPaid,NetIncome,TaxPaid,EquityYearEnd
2010,-90.73,0.0,-90.73,0.0,683.11
2011,-31.27,0.0,-31.27,0.0,617.67
2012,454.99,0.0,454.99,92.43,1003.05
2013,225.43,0.0,225.43,45.8,1503.04
2014,616.27,0.0,616.27,125.19,1807.35
2015,1354.69,0.0,1354.69,275.21,2918.66
2016,-402.97,0.0,-402.97,0.0,4443.98
2017,2957.72,0.0,2957.72,600.86,4372.56
2018,-675.47,0.0,-675.47,0.0,4578.59
2019,2748.12,0.0,2748.12,558.28,8034.33
2020,534.7,0.0,534.7,108.62,30368.85
2021,41180.03,0.0,41180.03,8365.72,39923.68
2022,-6548.83,0.0,-6548.83,0.0,33929.88
2023,49240.1,0.0,49240.1,10003.13,77004.73
2024,1627.37,0.0,1627.37,330.6,119128.17
2025,128335.64,0.0,128335.64,26071.39,211454.12
