Ticker,EntryDate,ExitDate,EP,XP,Ret,Reason,GainLoss
BKNG,2010-05-03,2010-05-12,10.38,8.67,-16.48,StopLoss,-50.73
AMD,2010-05-03,2010-06-01,9.2,8.41,-8.51,RebalanceExit,-33.48
URI,2010-06-01,2010-06-30,11.57,9.16,-20.88,StopLoss,-103.03
AAPL,2010-07-01,2010-08-02,7.62,7.78,2.04,RebalanceExit,5.33
CRM,2010-06-01,2010-08-25,20.93,27.43,31.08,MacroBearCash,78.34
MELI,2010-08-02,2010-08-25,60.46,62.87,3.99,MacroBearCash,10.68
CRM,2010-10-01,2010-11-01,27.84,28.54,2.5,RebalanceExit,9.15
MELI,2010-11-01,2010-12-01,64.33,62.67,-2.59,RebalanceExit,-7.0
BKNG,2010-10-01,2011-03-01,14.12,17.59,24.58,RebalanceExit,84.52
ON,2011-03-01,2011-04-01,11.24,9.93,-11.65,RebalanceExit,-19.78
MU,2011-04-01,2011-05-02,11.26,11.07,-1.75,RebalanceExit,-3.07
URI,2010-12-01,2011-06-01,23.09,26.18,13.38,RebalanceExit,69.9
BKNG,2011-06-01,2011-07-01,20.18,20.07,-0.52,RebalanceExit,-2.69
FTNT,2011-07-01,2011-07-21,5.44,4.31,-20.64,StopLoss,-84.04
REGN,2011-05-02,2011-08-09,52.41,45.11,-13.93,StopLoss,-71.99
BKNG,2011-08-01,2011-08-19,21.47,17.67,-17.71,StopLoss,-23.38
REGN,2011-09-01,2011-09-06,58.99,62.31,5.62,MacroBearCash,20.42
AMZN,2011-09-01,2011-09-06,10.78,10.22,-5.23,MacroBearCash,-10.27
REGN,2011-11-01,2011-11-22,53.87,54.38,0.96,MacroBearCash,4.35
MA,2011-11-01,2011-11-22,31.02,32.31,4.16,MacroBearCash,4.74
ISRG,2011-12-01,2012-01-03,47.27,52.23,10.49,RebalanceExit,35.99
FAST,2011-12-01,2012-01-03,7.19,7.66,6.52,RebalanceExit,15.37
MELI,2012-01-03,2012-02-01,79.91,85.49,6.99,RebalanceExit,17.69
MA,2012-01-03,2012-03-01,34.85,38.79,11.3,RebalanceExit,42.59
FAST,2012-02-01,2012-03-01,8.15,9.1,11.66,RebalanceExit,43.57
URI,2012-03-01,2012-05-01,40.57,43.14,6.34,RebalanceExit,27.12
AAPL,2012-05-01,2012-06-01,17.53,16.99,-3.05,RebalanceExit,-5.19
URI,2012-06-01,2012-07-02,31.63,32.9,4.01,RebalanceExit,6.8
VRTX,2012-07-02,2012-09-04,51.3,53.2,3.7,RebalanceExit,14.61
ASML,2012-09-04,2012-10-01,54.75,51.7,-5.56,RebalanceExit,-22.79
VLO,2012-10-01,2012-11-01,17.95,16.06,-10.5,RebalanceExit,-35.54
REGN,2012-03-01,2012-12-03,116.26,178.14,53.22,RebalanceExit,314.77
MPC,2012-12-03,2013-01-02,20.3,21.69,6.88,RebalanceExit,44.14
GILD,2012-11-01,2013-02-01,23.27,27.52,18.24,RebalanceExit,65.42
REGN,2013-01-02,2013-03-01,175.09,164.79,-5.88,RebalanceExit,-47.82
URI,2013-02-01,2013-03-01,49.1,50.52,2.9,RebalanceExit,16.6
VLO,2013-03-01,2013-04-18,25.71,21.65,-15.78,StopLoss,-82.71
MPC,2013-03-01,2013-06-03,28.07,28.18,0.42,RebalanceExit,2.08
MU,2013-05-01,2013-06-03,9.2,11.43,24.17,RebalanceExit,88.58
VRTX,2013-06-03,2013-07-01,80.98,81.29,0.39,RebalanceExit,2.06
MU,2013-07-01,2013-10-01,13.84,17.07,23.35,RebalanceExit,74.23
META,2013-10-01,2013-11-01,49.63,50.31,1.39,RebalanceExit,5.07
MU,2013-11-01,2013-12-02,17.34,20.54,18.44,RebalanceExit,57.78
TSLA,2013-06-03,2014-01-02,6.8,9.97,46.55,RebalanceExit,374.1
NFLX,2013-12-02,2014-02-03,5.24,5.87,12.07,RebalanceExit,101.6
MU,2014-01-02,2014-04-01,21.63,23.2,7.3,RebalanceExit,74.68
META,2014-04-01,2014-05-01,60.04,59.79,-0.42,RebalanceExit,-1.38
TSLA,2014-02-03,2014-05-09,14.05,11.97,-14.81,StopLoss,-197.97
TSLA,2014-06-02,2014-07-01,13.85,16.13,16.51,RebalanceExit,139.09
NXPI,2014-07-01,2014-09-02,59.0,61.56,4.34,RebalanceExit,38.21
MU,2014-05-01,2014-10-01,27.56,33.34,20.96,RebalanceExit,183.26
INTC,2014-09-02,2014-10-01,26.54,26.33,-0.8,RebalanceExit,-7.36
AVGO,2014-10-01,2014-10-13,6.54,5.3,-19.03,StopLoss,-138.44
GILD,2014-10-01,2014-11-03,73.56,76.94,4.59,RebalanceExit,50.47
VRTX,2014-11-03,2015-01-02,113.76,119.75,5.26,RebalanceExit,47.98
MELI,2015-01-02,2015-02-02,126.84,122.57,-3.37,RebalanceExit,-21.44
PANW,2014-11-03,2015-06-01,17.65,28.27,60.15,RebalanceExit,596.87
AVGO,2015-02-02,2015-06-01,7.78,11.17,43.47,RebalanceExit,366.76
FTNT,2015-06-01,2015-07-01,8.06,8.35,3.57,RebalanceExit,47.44
AVGO,2015-07-01,2015-08-03,10.19,9.55,-6.29,RebalanceExit,-74.04
PANW,2015-08-03,2015-08-25,31.11,26.75,-14.02,StopLoss,-270.38
FTNT,2015-09-01,2015-10-01,8.22,8.48,3.2,RebalanceExit,40.42
NFLX,2015-06-01,2015-12-01,9.29,12.42,33.74,RebalanceExit,621.08
GOOGL,2015-12-01,2016-01-04,38.05,37.68,-0.98,RebalanceExit,-11.1
NFLX,2016-01-04,2016-01-28,10.92,9.37,-14.22,StopLoss,-157.11
AMZN,2015-10-01,2016-02-08,30.24,24.28,-19.71,StopLoss,-358.81
KLAC,2016-02-01,2016-02-09,5.55,5.3,-4.53,MacroBearCash,-42.93
KLAC,2016-04-01,2016-05-02,6.13,5.9,-3.68,RebalanceExit,-50.78
FAST,2016-04-01,2016-06-01,9.14,8.78,-3.85,RebalanceExit,-40.88
AMAT,2016-05-02,2016-06-01,18.32,21.73,18.62,RebalanceExit,187.73
ISRG,2016-06-01,2016-07-01,70.38,73.37,4.25,RebalanceExit,50.39
META,2016-06-01,2016-07-01,117.68,113.0,-3.98,RebalanceExit,-41.29
AMAT,2016-07-01,2016-11-01,21.33,26.12,22.44,RebalanceExit,100.09
MELI,2016-11-01,2016-12-01,167.07,156.68,-6.22,RebalanceExit,-38.29
QCOM,2016-12-01,2017-01-03,52.2,50.58,-3.1,RebalanceExit,-22.52
URI,2017-01-03,2017-02-01,104.04,122.54,17.78,RebalanceExit,158.54
MU,2017-02-01,2017-03-01,23.87,23.52,-1.47,RebalanceExit,-12.56
URI,2017-03-01,2017-04-28,126.14,107.56,-14.73,StopLoss,-167.81
AMD,2016-07-01,2017-07-03,5.1,12.55,146.05,RebalanceExit,2606.17
SOXL,2017-07-03,2017-08-01,5.28,5.95,12.68,RebalanceExit,229.78
MU,2017-08-01,2017-09-01,27.57,31.27,13.44,RebalanceExit,142.63
SHOP,2017-05-01,2017-11-01,8.89,9.96,11.95,RebalanceExit,433.49
VRTX,2017-09-01,2017-11-01,161.05,147.08,-8.68,RebalanceExit,-256.62
NVDA,2017-11-01,2017-12-01,5.18,4.91,-5.08,RebalanceExit,-153.38
MU,2017-12-01,2018-02-01,40.77,41.89,2.76,RebalanceExit,63.71
SOXL,2017-11-01,2018-02-09,9.4,8.34,-11.3,StopLoss,-416.5
CAT,2018-02-01,2018-03-01,135.43,128.6,-5.04,RebalanceExit,-189.78
SOXL,2018-03-01,2018-03-29,10.79,9.32,-13.56,StopLoss,-297.75
SOXL,2018-04-02,2018-04-24,9.44,8.14,-13.83,StopLoss,-212.31
MU,2018-05-01,2018-06-01,44.54,57.24,28.52,RebalanceExit,499.18
VLO,2018-06-01,2018-08-01,88.99,84.69,-4.83,RebalanceExit,-127.31
NFLX,2018-03-01,2018-09-04,31.36,36.58,16.66,RebalanceExit,573.13
FTNT,2018-08-01,2018-10-01,13.39,18.57,38.63,RebalanceExit,981.07
TEAM,2018-10-01,2018-10-09,97.36,80.53,-17.28,StopLoss,-229.97
AMD,2018-09-04,2018-10-25,27.82,17.89,-35.7,StopLoss,-1719.03
MDB,2018-11-01,2018-11-14,81.65,70.36,-13.83,StopLoss,-115.53
AMD,2018-11-01,2018-12-03,18.44,22.44,21.66,RebalanceExit,723.97
MDB,2018-12-03,2018-12-06,86.16,82.85,-3.84,MacroBearCash,-147.15
FTNT,2018-12-03,2018-12-06,15.27,14.3,-6.39,MacroBearCash,-61.21
TEAM,2019-02-01,2019-04-01,98.39,113.82,15.68,RebalanceExit,144.13
MELI,2019-04-01,2019-05-01,517.22,486.88,-5.87,RebalanceExit,-216.48
MDB,2019-02-01,2019-07-01,91.19,155.03,70.02,RebalanceExit,2573.87
ZS,2019-05-01,2019-07-01,68.9,78.09,13.33,RebalanceExit,473.49
MELI,2019-07-01,2019-08-01,628.33,623.38,-0.79,RebalanceExit,-26.44
MDB,2019-08-01,2019-09-03,143.19,150.42,5.05,RebalanceExit,173.74
ZS,2019-09-03,2019-09-12,68.21,50.61,-25.81,StopLoss,-452.54
SHOP,2019-07-01,2019-12-02,32.81,33.54,2.22,RebalanceExit,132.6
KLAC,2019-10-01,2019-12-02,15.4,15.17,-1.44,RebalanceExit,-54.24
LRCX,2019-12-02,2020-02-03,24.71,27.84,12.65,RebalanceExit,453.74
SOXL,2019-12-02,2020-02-28,14.83,11.08,-25.29,StopLoss,-1430.07
SOXL,2020-03-02,2020-03-10,14.06,10.75,-23.54,StopLoss,-272.8
TSLA,2020-02-03,2020-03-13,46.63,39.59,-15.1,StopLoss,-687.08
MRNA,2020-04-01,2020-10-01,53.3,69.44,30.28,RebalanceExit,2725.41
TQQQ,2020-10-01,2020-11-02,16.3,14.24,-12.61,RebalanceExit,-509.48
DDOG,2020-11-02,2020-12-01,91.95,98.42,7.04,RebalanceExit,254.98
NET,2020-12-01,2021-01-04,76.94,77.42,0.62,RebalanceExit,31.33
MRNA,2021-01-04,2021-04-01,107.38,132.03,22.96,RebalanceExit,5602.83
TSLA,2020-04-01,2021-05-03,80.97,234.32,189.4,RebalanceExit,22051.49
SOXL,2021-04-01,2021-05-05,38.91,33.97,-12.68,StopLoss,-3373.14
AMAT,2021-05-03,2021-06-01,128.58,132.88,3.34,RebalanceExit,219.22
SOXL,2021-06-01,2021-07-01,38.41,42.76,11.32,RebalanceExit,1829.65
AMAT,2021-07-01,2021-08-02,135.96,134.83,-0.83,RebalanceExit,-62.96
SOXL,2021-08-02,2021-09-01,43.91,45.75,4.21,RebalanceExit,942.38
NET,2021-09-01,2021-11-01,120.22,194.41,61.72,RebalanceExit,7025.12
MRNA,2021-06-01,2021-12-01,202.14,329.65,63.08,RebalanceExit,16339.43
MDB,2021-11-01,2021-12-01,522.94,501.07,-4.18,RebalanceExit,-501.05
NET,2021-12-01,2021-12-06,190.31,153.3,-19.45,StopLoss,-8924.26
TEAM,2021-12-01,2022-01-03,384.41,379.73,-1.22,RebalanceExit,-139.83
NET,2022-01-03,2022-01-06,131.31,103.33,-21.31,StopLoss,-3610.0
NVDA,2022-01-03,2022-01-20,29.76,25.18,-15.39,StopLoss,-3540.46
ON,2022-02-01,2022-03-01,59.43,62.4,5.0,RebalanceExit,888.63
NVDA,2022-02-01,2022-03-01,25.07,24.17,-3.59,RebalanceExit,-539.12
XOM,2022-03-01,2022-03-03,67.84,68.57,1.08,MacroBearCash,234.55
MPC,2022-03-01,2022-03-03,71.55,69.76,-2.5,MacroBearCash,-283.08
XOM,2022-04-01,2022-04-07,70.62,71.97,1.92,MacroBearCash,382.85
MPC,2022-04-01,2022-04-07,77.68,78.02,0.44,MacroBearCash,57.64
SMCI,2023-02-01,2023-03-01,7.21,9.9,37.27,RebalanceExit,6294.33
GILD,2023-02-01,2023-03-01,74.81,71.28,-4.72,RebalanceExit,-809.41
URI,2023-03-01,2023-03-16,452.17,373.57,-17.38,StopLoss,-3476.14
NFLX,2023-03-01,2023-04-03,32.21,34.13,5.97,RebalanceExit,1165.73
SMCI,2023-04-03,2023-06-01,10.67,22.64,112.11,RebalanceExit,23248.32
META,2023-06-01,2023-07-03,263.85,283.92,7.61,RebalanceExit,3405.05
NVDA,2023-04-03,2023-09-01,27.56,49.61,80.0,RebalanceExit,15985.85
PLTR,2023-09-01,2023-10-02,15.19,16.0,5.36,RebalanceExit,907.48
SMCI,2023-07-03,2023-12-01,25.51,26.2,2.71,RebalanceExit,1615.62
NVDA,2023-10-02,2023-12-01,44.03,46.36,5.29,RebalanceExit,903.27
META,2023-12-01,2024-01-02,322.94,347.94,7.74,RebalanceExit,4125.91
MDB,2023-12-01,2024-01-02,420.55,403.93,-3.95,RebalanceExit,-1186.71
PLTR,2024-01-02,2024-02-01,16.97,16.19,-4.61,RebalanceExit,-1391.46
SOXL,2024-02-01,2024-03-01,31.85,43.7,37.23,RebalanceExit,10907.57
CRWD,2024-01-02,2024-04-01,62.93,80.18,27.41,RebalanceExit,12622.3
SOXL,2024-04-01,2024-04-16,46.15,39.13,-15.21,StopLoss,-3343.48
SMCI,2024-03-01,2024-04-22,88.26,73.13,-17.14,StopLoss,-13577.45
SOXL,2024-05-01,2024-06-03,35.65,50.03,40.36,RebalanceExit,6581.57
SMCI,2024-05-01,2024-08-01,77.8,70.39,-9.52,RebalanceExit,-6205.34
SOXL,2024-08-01,2024-08-02,41.66,30.17,-27.59,StopLoss,-4547.72
NVDA,2024-06-03,2024-08-08,116.38,101.74,-12.58,StopLoss,-8214.27
TSM,2024-09-03,2024-10-01,164.01,171.32,4.45,RebalanceExit,1152.69
NVDA,2024-09-03,2024-11-01,115.94,134.36,15.89,RebalanceExit,6865.52
ARM,2024-11-01,2024-12-02,144.35,134.02,-7.15,RebalanceExit,-2161.78
NVDA,2024-12-02,2025-01-02,138.82,135.59,-2.33,RebalanceExit,-512.63
SHOP,2025-01-02,2025-02-03,107.65,111.71,3.77,RebalanceExit,901.38
TSLA,2025-02-03,2025-02-12,387.2,329.43,-14.92,StopLoss,-3842.45
TSLA,2025-03-03,2025-03-11,300.75,224.93,-25.21,StopLoss,-6447.54
