Year,RealizedPL,InterestPaid,NetIncome,TaxPaid,EquityYearEnd
2010,-145.77,5.83,-151.6,0.0,678.89
2011,150.0,17.61,132.4,26.9,710.82
2012,1033.42,26.63,1006.8,204.53,1575.59
2013,536.98,62.53,474.45,96.38,2511.42
2014,1134.95,98.06,1036.89,210.64,3399.61
2015,4952.13,156.78,4795.35,974.18,7663.46
2016,-2356.17,144.64,-2500.81,0.0,14793.19
2017,13536.11,669.87,12866.24,2613.78,15391.35
2018,2479.43,423.66,2055.77,417.63,20722.86
2019,27102.26,1004.45,26097.81,5301.77,50043.89
2020,27454.14,2852.03,24602.1,4997.92,421087.18
2021,867189.87,44910.48,822279.39,167046.06,757592.48
2022,-175459.82,114.45,-175574.27,0.0,593268.66
2023,2224951.99,58694.14,2166257.85,440075.28,2604190.06
2024,108119.41,72413.58,35705.83,7253.64,5759463.97
2025,9527919.41,233157.35,9294762.06,1888230.91,13928522.49
