Ticker,EntryDate,ExitDate,EP,XP,Ret,Reason,GainLoss
BKNG,2010-05-03,2010-05-12,10.38,8.67,-16.48,StopLoss,-100.93
AMD,2010-05-03,2010-06-01,9.2,8.41,-8.51,RebalanceExit,-66.51
URI,2010-06-01,2010-06-30,11.57,9.16,-20.88,StopLoss,-86.97
AAPL,2010-07-01,2010-08-02,7.62,7.78,2.04,RebalanceExit,4.5
CRM,2010-06-01,2010-08-25,22.69,27.43,20.9,MacroBearCash,85.36
MELI,2010-08-02,2010-08-25,60.46,62.87,3.99,MacroBearCash,14.46
CRM,2010-10-01,2010-11-01,27.84,28.54,2.5,RebalanceExit,15.99
MELI,2010-11-01,2010-12-01,64.33,62.67,-2.59,RebalanceExit,-11.67
BKNG,2010-10-01,2011-03-01,14.16,17.59,24.27,RebalanceExit,154.63
ON,2011-03-01,2011-04-01,11.24,9.93,-11.65,RebalanceExit,-49.74
MU,2011-04-01,2011-05-02,11.26,11.07,-1.75,RebalanceExit,-7.1
URI,2010-12-01,2011-06-01,22.45,26.18,16.64,RebalanceExit,190.49
BKNG,2011-06-01,2011-07-01,20.18,20.07,-0.52,RebalanceExit,-6.4
FTNT,2011-07-01,2011-07-21,5.44,4.31,-20.64,StopLoss,-176.16
BKNG,2011-08-01,2011-08-19,21.47,17.67,-17.71,StopLoss,-41.82
REGN,2011-05-02,2011-08-22,51.69,54.54,5.53,MacroBearCash,51.41
REGN,2011-09-01,2011-09-06,58.99,62.31,5.62,MacroBearCash,26.51
AMZN,2011-09-01,2011-09-06,10.78,10.22,-5.23,MacroBearCash,-6.77
REGN,2011-11-01,2011-11-22,53.87,54.38,0.96,MacroBearCash,7.2
MA,2011-11-01,2011-11-22,31.02,32.31,4.16,MacroBearCash,7.75
ISRG,2011-12-01,2012-01-03,47.27,52.23,10.49,RebalanceExit,39.68
FAST,2011-12-01,2012-01-03,7.19,7.66,6.52,RebalanceExit,18.28
MELI,2012-01-03,2012-02-01,79.91,85.49,6.99,RebalanceExit,16.75
MA,2012-01-03,2012-03-01,34.31,38.79,13.05,RebalanceExit,76.14
FAST,2012-02-01,2012-03-01,8.15,9.1,11.66,RebalanceExit,99.76
URI,2012-03-01,2012-05-01,40.57,43.14,6.34,RebalanceExit,66.84
AAPL,2012-05-01,2012-06-01,17.53,16.99,-3.05,RebalanceExit,-12.82
URI,2012-06-01,2012-07-02,31.63,32.9,4.01,RebalanceExit,8.87
VRTX,2012-07-02,2012-09-04,50.69,53.2,4.96,RebalanceExit,47.76
