Year,RealizedPL,InterestPaid,NetIncome,TaxPaid,EquityYearEnd
2010,1443.74,87.65,1356.09,275.49,13117.44
2011,-2010.54,175.03,-2185.57,0.0,8997.91
2012,-2113.74,153.44,-2267.19,0.0,6802.69
2013,48216.01,748.45,47467.56,9643.03,52263.21
2014,8050.97,1823.23,6227.74,1265.17,56426.74
2015,152.34,1725.46,-1573.12,0.0,57182.49
2016,63555.34,1904.47,61650.87,12524.37,107496.99
2017,120539.54,4739.28,115800.26,23524.82,199076.79
2018,142293.08,6734.27,135558.82,27538.77,341544.52
2019,1162738.46,22658.85,1140079.61,231607.17,1727497.62
2020,1531268.35,31626.76,1499641.59,304652.19,2796852.18
2021,95372.99,88959.94,6413.06,1302.81,2760609.4
2022,-541217.86,3057.29,-544275.14,0.0,2247464.34
2023,1028490.24,73187.7,955302.54,194069.71,4074595.94
2024,45326073.44,404833.31,44921240.13,9125749.93,39811513.9
2025,89337942.69,2230564.59,87107378.11,17695863.86,232866828.22
2026,974602575.93,6956795.65,967645780.28,196577240.26,1069437280.63
