Ticker,EntryDate,ExitDate,EP,XP,Ret,Reason,GainLoss
NBIX,2010-07-14,2010-07-19,5.71,5.25,-8.06,MacroShield,-403.65
CRUS,2010-07-14,2010-07-19,17.96,17.34,-3.48,MacroShield,-173.72
NBIX,2010-08-11,2010-08-12,6.05,5.68,-6.14,MacroShield,-521.46
CRUS,2010-08-11,2010-08-12,19.51,18.18,-6.81,MacroShield,-578.22
UHAL,2010-09-09,2010-10-07,7.4,7.24,-2.14,RankDrop,-184.69
IPGP,2010-10-07,2010-10-20,22.91,20.44,-10.78,StopLoss,-874.25
BKNG,2010-09-09,2010-11-04,13.03,15.07,15.65,RankDrop,1172.7
HL,2010-10-20,2010-11-18,6.14,7.9,28.72,RankDrop,2160.82
KMX,2010-11-04,2010-12-17,32.06,34.66,8.1,RankDrop,846.21
URI,2010-11-18,2011-01-18,19.43,25.24,29.89,RankDrop,3177.72
LNG,2011-01-18,2011-01-20,7.12,6.23,-12.51,StopLoss,-2095.92
CIEN,2011-01-20,2011-02-01,24.39,22.18,-9.08,RankDrop,-1327.11
JAZZ,2010-12-17,2011-02-07,18.68,22.1,18.28,TrendExit,2305.11
CIEN,2011-02-07,2011-03-11,26.84,23.86,-11.13,StopLoss,-1988.98
EXEL,2011-02-01,2011-03-16,8.69,11.14,28.25,RankDrop,3764.16
DINO,2011-03-16,2011-04-13,15.06,15.21,0.96,RankDrop,130.6
CDE,2011-04-13,2011-04-15,35.25,32.71,-7.21,StopLoss,-521.12
ECHO,2011-03-11,2011-04-28,29.36,29.95,2.02,RankDrop,284.56
JAZZ,2011-04-28,2011-05-09,32.86,29.94,-8.87,StopLoss,-1463.48
IPGP,2011-04-15,2011-05-12,61.31,66.82,8.98,RankDrop,1327.44
WLK,2011-05-09,2011-05-12,23.19,22.31,-3.82,RankDrop,-570.28
BIIB,2011-05-12,2011-05-26,96.54,93.15,-3.51,RankDrop,-491.26
OLN,2011-05-12,2011-05-26,15.14,14.24,-5.94,RankDrop,-836.88
SGI,2011-05-26,2011-06-09,15.0,13.06,-12.89,StopLoss,-819.99
BBWI,2011-05-26,2011-06-10,15.94,14.88,-6.66,RankDrop,-423.81
DDS,2011-06-09,2011-06-16,35.19,34.2,-2.82,MacroShield,-160.95
DPZ,2011-06-10,2011-06-16,18.56,18.68,0.65,MacroShield,37.36
DPZ,2011-06-24,2011-06-27,19.65,19.47,-0.89,MacroShield,-50.43
CROX,2011-06-24,2011-06-27,25.34,24.95,-1.51,MacroShield,-85.66
INSM,2011-07-11,2011-07-25,12.22,11.27,-7.8,RankDrop,-788.32
XPO,2011-07-25,2011-08-03,5.77,5.23,-9.23,StopLoss,-862.68
CROX,2011-08-03,2011-08-05,30.58,27.84,-8.95,StopLoss,-424.27
DPZ,2011-07-11,2011-08-05,20.48,20.22,-1.25,MacroShield,-126.36
CNC,2012-01-13,2012-02-13,10.9,11.9,9.2,RankDrop,829.49
GNRC,2012-01-13,2012-02-13,19.37,19.15,-1.18,RankDrop,-106.46
ALNY,2012-02-13,2012-02-15,12.33,11.14,-9.68,StopLoss,-939.04
REGN,2012-02-13,2012-02-22,111.69,96.9,-13.24,StopLoss,-1271.64
AGO,2012-02-15,2012-03-13,13.32,13.6,2.11,RankDrop,179.93
ALNY,2012-02-22,2012-03-13,11.94,12.0,0.47,RankDrop,36.41
LNG,2012-03-13,2012-04-11,15.16,14.55,-4.06,RankDrop,-312.29
RGEN,2012-04-11,2012-04-27,6.11,4.25,-30.42,StopLoss,-2372.26
REGN,2012-03-13,2012-05-10,109.73,129.02,17.59,TrendExit,1350.68
BKNG,2012-04-27,2012-05-14,29.4,26.11,-11.18,StopLoss,-696.55
TPL,2012-05-10,2012-05-23,5.71,5.55,-2.96,RankDrop,-89.81
REGN,2012-05-14,2012-05-23,131.93,123.84,-6.13,RankDrop,-169.83
INCY,2012-05-23,2012-07-06,22.87,24.93,9.01,RankDrop,488.55
AAL,2012-05-23,2012-07-19,10.88,12.78,17.42,TrendExit,830.17
AAL,2012-07-19,2012-07-20,12.83,11.69,-8.88,RankDrop,-580.73
IONS,2012-07-06,2012-08-03,12.82,11.93,-6.98,RankDrop,-419.11
EW,2012-07-20,2012-08-17,17.17,16.61,-3.28,RankDrop,-182.66
PHM,2012-08-17,2012-09-27,11.76,13.08,11.25,TrendExit,670.4
STZ,2012-08-03,2012-10-01,25.07,27.25,8.72,RankDrop,576.78
TMUS,2012-09-27,2012-10-15,17.92,18.45,2.97,RankDrop,197.85
CDE,2012-10-15,2012-11-07,28.66,24.6,-14.18,StopLoss,-495.72
PHM,2012-10-01,2012-11-08,13.12,15.1,15.09,MacroShield,1048.78
INSM,2012-11-07,2012-11-08,6.49,6.69,3.01,MacroShield,113.68
INSM,2012-11-29,2012-12-06,7.82,6.87,-12.23,StopLoss,-465.15
AXON,2012-11-29,2012-12-06,8.65,8.28,-4.18,MacroShield,-158.93
LPX,2012-12-13,2012-12-14,15.29,14.9,-2.53,MacroShield,-176.48
ALK,2012-12-13,2012-12-14,19.39,19.39,0.0,MacroShield,0.23
THC,2013-01-14,2013-02-27,34.22,37.66,10.05,TrendExit,684.15
PPC,2013-01-14,2013-02-27,5.18,5.49,6.05,RankDrop,412.22
IONS,2013-02-27,2013-03-27,15.92,16.65,4.58,RankDrop,388.51
ZG,2013-03-27,2013-04-04,17.49,15.56,-11.04,StopLoss,-1029.58
BBY,2013-04-04,2013-05-22,14.29,16.02,12.12,TrendExit,1651.63
NXST,2013-02-27,2013-06-06,11.46,19.49,70.12,TrendExit,6289.42
TSLA,2013-05-22,2013-06-07,5.77,6.52,13.05,RankDrop,2028.78
FSLR,2013-06-07,2013-06-13,53.91,45.35,-15.89,StopLoss,-2861.34
VRTX,2013-06-13,2013-06-21,82.4,75.75,-8.07,RankDrop,-1163.77
NXST,2013-06-06,2013-07-22,19.56,25.95,32.65,TrendExit,5473.86
PPC,2013-06-21,2013-08-16,9.11,10.53,15.54,TrendExit,2926.83
TSLA,2013-07-22,2013-10-04,9.06,11.75,29.61,TrendExit,9036.27
